Rank,Game,Month,Year,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
23,Slots,9,2023,15142232,82057,48427,212,5512,21060,114,184.53
24,Tom Clancy's Rainbow Six Siege,9,2023,15092995,1053339,84569,2879,218994,20991,1465,14.33
25,Special Events,9,2023,14422444,50647,1353841,1901,9524,20059,70,284.76
26,Music,9,2023,14240199,845836,74638,1816,52926,19805,1176,16.84
27,NBA 2K24,9,2023,13148129,1202030,195102,8328,132522,18286,1671,10.94
28,Cyberpunk 2077,9,2023,13140219,351359,203746,3163,46815,18275,488,37.4
29,Dead by Daylight,9,2023,13099656,981695,50817,2284,104037,18219,1365,13.34
30,Rust,9,2023,12098015,235847,108823,936,25436,16826,328,51.3
31,Hearthstone,9,2023,11864003,96812,41408,227,9418,16500,134,122.55
32,Dark and Darker,9,2023,11367801,192973,42269,564,11956,15810,268,58.91
33,Party Animals,9,2023,10766251,151837,325006,1606,43982,14973,211,70.91
34,Virtual Casino,9,2023,10645119,32908,34592,104,1664,14805,45,323.48
35,Honkai: Star Rail,9,2023,10413043,2711160,85973,19159,156026,14482,3770,3.84
36,Baldur's Gate 3,9,2023,9440834,780291,39423,2581,68480,13130,1085,12.1
37,Path of Exile,9,2023,9280325,194581,36036,546,9486,12907,270,47.69
38,Genshin Impact,9,2023,9029748,854457,274725,7442,93354,12558,1188,10.57
39,ASMR,9,2023,9018903,94021,39723,176,4124,12543,130,95.92
40,Mortal Kombat 1,9,2023,8969350,318042,150301,3361,58975,12474,442,28.2
41,The Texas Chain Saw Massacre,9,2023,8818773,394740,77056,1794,72995,12265,549,22.34
42,Destiny 2,9,2023,8532870,621380,284171,11191,66817,11867,864,13.73
43,Eternal Return,9,2023,8339463,87595,49476,256,6076,11598,121,95.2
44,PUBG: BATTLEGROUNDS,9,2023,8224096,410555,150841,998,38453,11438,571,20.03
45,Art,9,2023,7747776,449388,23846,943,46861,10775,625,17.24
46,Black Desert,9,2023,7430045,156388,22760,320,8615,10333,217,47.51
47,Travel & Outdoors,9,2023,7173608,91409,59876,173,5174,9977,127,78.48
48,I'm Only Sleeping,9,2023,6919948,157731,95745,470,6697,9624,219,43.87
49,Call of Duty: Modern Warfare II,9,2023,6580561,2430365,68310,6630,362815,9152,3380,2.71
50,World of Tanks,9,2023,6325428,115843,49132,330,9796,8797,161,54.6
